grid size,level,time,expended nodes,algorithm
10,8,194.98813,3148812,DFS
10,9,207.90952,3599073,DFS
10,10,206.78506,3378597,DFS
10,1,195.2366,2097503,UCS
10,2,187.41893,1863253,UCS
10,3,191.49965,1858147,UCS
10,4,205.6611,2092017,UCS
10,5,184.07867,2064337,UCS
10,6,184.33038,2011594,UCS
10,7,192.1524,1955725,UCS
10,8,190.32277,2021551,UCS
10,9,189.17683,2148677,UCS
10,10,194.21385,1847592,UCS
10,1,3.923641,40952,A*
10,2,16.096872,172571,A*
10,3,183.22505,1480394,A*
10,4,183.57167,1559306,A*
10,5,7.401159,62095,A*
10,6,126.146194,1095106,A*
10,7,16.37772,160030,A*
10,8,128.93857,1190483,A*
10,9,184.00156,1469217,A*
10,10,183.7704,1543144,A*
